resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,fastestLapTime_seconds
46,20,8,6,1,4,2,2,2,8.0,57,+3.339,35,4,1:33.709,207.911,1,93.709
47,20,9,2,4,1,3,3,3,6.0,57,+4.998,55,5,1:33.775,207.765,1,93.775
48,20,2,2,3,6,4,4,4,5.0,57,+8.409,48,2,1:33.565,208.231,1,93.565
49,20,5,1,23,5,5,5,5,4.0,57,+26.789,49,1,1:33.193,209.062,1,93.193
50,20,15,7,11,7,6,6,6,3.0,57,+41.314,45,7,1:34.204,206.819,1,94.204
51,20,17,9,10,11,7,7,7,2.0,57,+45.473,51,8,1:34.305,206.597,1,94.305
52,20,3,3,7,8,8,8,8,1.0,57,+55.889,57,6,1:34.072,207.109,1,94.072
53,20,10,7,12,13,9,9,9,0.0,57,+1:09.500,56,9,1:34.807,205.503,1,94.807
54,20,4,4,5,10,10,10,10,0.0,57,+1:17.181,35,13,1:35.194,204.668,1,95.194
55,20,22,11,17,12,11,11,11,0.0,57,+1:17.862,40,10,1:34.855,205.399,1,94.855
56,20,21,10,21,18,12,12,12,0.0,56,\N,56,11,1:35.057,204.963,11,95.057
57,20,1,1,22,3,13,13,13,0.0,56,\N,25,19,1:35.520,203.969,11,95.52
58,20,6,3,8,16,14,14,14,0.0,56,\N,30,17,1:35.433,204.155,11,95.433
59,20,7,5,14,15,15,15,15,0.0,56,\N,33,15,1:35.333,204.369,11,95.333
60,20,19,8,19,21,16,16,16,0.0,56,\N,45,14,1:35.324,204.389,11,95.324
61,20,11,8,18,22,17,17,17,0.0,56,\N,56,20,1:35.891,203.180,11,95.891
62,20,14,9,9,17,18,18,18,0.0,56,\N,43,16,1:35.351,204.331,11,95.351
63,20,16,10,20,20,19,19,19,0.0,56,\N,55,18,1:35.442,204.136,12,95.442
67,21,8,6,1,1,1,1,1,10.0,66,1:38:19.051,46,1,1:21.670,205.191,1,81.67
68,21,13,6,2,3,2,2,2,8.0,66,+3.228,45,2,1:21.801,204.863,1,81.801
69,21,1,1,22,5,3,3,3,6.0,66,+4.187,20,3,1:22.017,204.323,1,82.017
70,21,9,2,4,4,4,4,4,5.0,66,+5.694,20,4,1:22.106,204.102,1,82.106
71,21,17,9,10,7,5,5,5,4.0,66,+35.938,19,8,1:22.564,202.969,1,82.564
72,21,18,11,16,13,6,6,6,3.0,66,+53.010,66,5,1:22.353,203.489,1,82.353
73,21,6,3,8,12,7,7,7,2.0,66,+58.244,48,15,1:23.549,200.576,1,83.549
74,21,15,7,11,8,8,8,8,1.0,66,+59.435,45,10,1:22.758,202.494,1,82.758
75,21,2,2,3,9,9,9,9,0.0,66,+1:03.073,21,7,1:22.519,203.080,1,82.519
76,21,21,10,21,19,10,10,10,0.0,65,\N,40,14,1:23.439,200.841,11,83.439
77,21,10,7,12,14,11,11,11,0.0,65,\N,57,12,1:23.007,201.886,11,83.007
78,21,14,9,9,17,12,12,12,0.0,65,\N,57,11,1:22.842,202.288,11,82.842
79,21,11,8,18,22,13,13,13,0.0,65,\N,34,17,1:24.617,198.045,11,84.617
89,22,13,6,2,1,1,1,1,10.0,58,1:26:49.451,16,3,1:26.666,221.734,1,86.666
90,22,1,1,22,3,2,2,2,8.0,58,+3.779,31,2,1:26.529,222.085,1,86.529
91,22,8,6,1,4,3,3,3,6.0,58,+4.271,20,1,1:26.506,222.144,1,86.506
92,22,9,2,4,5,4,4,4,5.0,58,+21.945,17,4,1:26.780,221.442,1,86.78
93,22,2,2,3,9,5,5,5,4.0,58,+38.741,20,5,1:27.219,220.328,1,87.219
94,22,4,4,5,7,6,6,6,3.0,58,+53.724,57,6,1:27.280,220.174,1,87.28
95,22,17,9,10,6,7,7,7,2.0,58,+1:04.229,14,7,1:27.630,219.294,1,87.63
96,22,3,3,7,11,8,8,8,1.0,58,+1:11.406,55,9,1:27.795,218.882,1,87.795
97,22,14,9,9,10,9,9,9,0.0,58,+1:15.270,41,12,1:27.966,218.457,1,87.966
98,22,15,7,11,8,10,10,10,0.0,58,+1:16.344,52,11,1:27.926,218.556,1,87.926
99,22,18,11,16,13,11,11,11,0.0,57,\N,57,13,1:27.998,218.377,11,87.998
100,22,5,1,23,2,12,12,12,0.0,57,\N,55,8,1:27.640,219.269,11,87.64
101,22,10,7,12,15,13,13,13,0.0,57,\N,28,16,1:28.303,217.623,11,88.303
102,22,22,11,17,12,14,14,14,0.0,57,\N,56,14,1:28.017,218.330,11,88.017
103,22,12,4,6,17,15,15,15,0.0,57,\N,40,10,1:27.867,218.703,11,87.867
104,22,16,10,20,19,16,16,16,0.0,57,\N,35,18,1:28.780,216.454,11,88.78
105,22,20,5,15,14,17,17,17,0.0,57,\N,38,15,1:28.180,217.926,11,88.18
109,23,1,1,22,3,1,1,1,10.0,76,2:00:42.742,71,6,1:18.510,153.152,1,78.51
110,23,9,2,4,5,2,2,2,8.0,76,+3.064,75,5,1:17.933,154.286,1,77.933
111,23,13,6,2,1,3,3,3,6.0,76,+4.811,76,4,1:17.886,154.379,1,77.886
112,23,17,9,10,9,4,4,4,5.0,76,+19.295,74,8,1:19.036,152.133,1,79.036
113,23,20,5,15,19,5,5,5,4.0,76,+24.657,74,7,1:18.787,152.614,1,78.787
114,23,22,11,17,14,6,6,6,3.0,76,+28.408,75,9,1:19.574,151.104,1,79.574
115,23,6,3,8,13,7,7,7,2.0,76,+30.180,75,13,1:19.910,150.469,1,79.91
116,23,5,1,23,4,8,8,8,1.0,76,+33.191,74,2,1:17.282,155.586,1,77.282
117,23,8,6,1,2,9,9,9,0.0,76,+33.792,74,1,1:16.689,156.789,1,76.689
118,23,4,4,5,7,10,10,10,0.0,75,\N,73,3,1:17.869,154.413,11,77.869
119,23,18,11,16,11,11,11,11,0.0,75,\N,74,10,1:19.582,151.089,11,79.582
120,23,10,7,12,10,12,12,12,0.0,75,\N,75,11,1:19.618,151.021,11,79.618
121,23,15,7,11,8,13,13,13,0.0,75,\N,75,12,1:19.830,150.620,11,79.83
122,23,2,2,3,12,14,14,14,0.0,72,\N,72,14,1:20.251,149.829,14,80.251
129,24,9,2,4,2,1,1,1,10.0,70,1:36:24.227,47,4,1:17.539,202.473,1,77.539
130,24,2,2,3,8,2,2,2,8.0,70,+16.495,25,2,1:17.430,202.758,1,77.43
131,24,14,9,9,13,3,3,3,6.0,70,+23.352,36,7,1:18.085,201.057,1,78.085
132,24,10,7,12,11,4,4,4,5.0,70,+42.627,31,17,1:19.087,198.510,1,79.087
133,24,13,6,2,6,5,5,5,4.0,70,+43.934,11,6,1:18.006,201.261,1,78.006
134,24,15,7,11,14,6,6,6,3.0,70,+47.775,38,15,1:18.870,199.056,1,78.87
135,24,22,11,17,9,7,7,7,2.0,70,+53.597,35,10,1:18.301,200.503,1,78.301
136,24,20,5,15,19,8,8,8,1.0,70,+54.120,33,12,1:18.532,199.913,1,78.532
137,24,5,1,23,7,9,9,9,0.0,70,+54.433,62,11,1:18.462,200.091,1,78.462
138,24,3,3,7,5,10,10,10,0.0,70,+54.749,14,5,1:17.977,201.336,1,77.977
139,24,18,11,16,20,11,11,11,0.0,70,+1:07.540,58,19,1:19.352,197.847,1,79.352
140,24,17,9,10,10,12,12,12,0.0,70,+1:11.299,51,8,1:18.201,200.759,1,78.201
141,24,7,5,14,18,13,13,13,0.0,69,\N,34,13,1:18.620,199.689,11,78.62
149,25,13,6,2,2,1,1,1,10.0,70,1:31:50.245,20,2,1:16.729,206.956,1,76.729
150,25,8,6,1,1,2,2,2,8.0,70,+17.984,16,1,1:16.630,207.224,1,76.63
151,25,15,7,11,4,3,3,3,6.0,70,+28.250,12,7,1:17.567,204.721,1,77.567
152,25,5,1,23,10,4,4,4,5.0,70,+28.929,46,3,1:17.134,205.870,1,77.134
153,25,9,2,4,5,5,5,5,4.0,70,+30.512,16,4,1:17.172,205.768,1,77.172
154,25,17,9,10,6,6,6,6,3.0,70,+40.304,22,6,1:17.507,204.879,1,77.507
155,25,12,4,6,9,7,7,7,2.0,70,+41.033,24,10,1:17.758,204.218,1,77.758
156,25,4,4,5,3,8,8,8,1.0,70,+43.372,39,8,1:17.641,204.525,1,77.641
157,25,14,9,9,7,9,9,9,0.0,70,+51.021,23,12,1:17.818,204.060,1,77.818
158,25,1,1,22,13,10,10,10,0.0,70,+54.538,40,5,1:17.453,205.022,1,77.453
